Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team,DateTime
2024-01-24,20:30,Bundesliga,Matchweek 13,Wed,Away,,,,Bayern Munich,,,,,,,,Head-to-Head,,Union Berlin,2024-01-24 20:30:00
2024-01-24,20:30,Bundesliga,Matchweek 13,Wed,Home,,,,Union Berlin,,,,,,,,Head-to-Head,,Bayern Munich,2024-01-24 20:30:00
2024-01-26,20:30,Bundesliga,Matchweek 19,Fri,Away,,,,Eint Frankfurt,,,,,,,,Head-to-Head,,Mainz 05,2024-01-26 20:30:00
2024-01-26,20:30,Bundesliga,Matchweek 19,Fri,Home,,,,Mainz 05,,,,,,,,Head-to-Head,,Eintracht Frankfurt,2024-01-26 20:30:00
2024-01-27,15:30,Bundesliga,Matchweek 19,Sat,Home,,,,Bayern Munich,,,,,,,,Head-to-Head,,Augsburg,2024-01-27 15:30:00
2024-01-27,15:30,Bundesliga,Matchweek 19,Sat,Away,,,,Wolfsburg,,,,,,,,Head-to-Head,,Koln,2024-01-27 15:30:00
2024-01-27,15:30,Bundesliga,Matchweek 19,Sat,Home,,,,Freiburg,,,,,,,,Head-to-Head,,Werder Bremen,2024-01-27 15:30:00
2024-01-27,15:30,Bundesliga,Matchweek 19,Sat,Home,,,,Köln,,,,,,,,Head-to-Head,,Wolfsburg,2024-01-27 15:30:00
2024-01-27,15:30,Bundesliga,Matchweek 19,Sat,Away,,,,Hoffenheim,,,,,,,,Head-to-Head,,Heidenheim,2024-01-27 15:30:00
2024-01-27,15:30,Bundesliga,Matchweek 19,Sat,Home,,,,Heidenheim,,,,,,,,Head-to-Head,,Hoffenheim,2024-01-27 15:30:00
2024-01-27,15:30,Bundesliga,Matchweek 19,Sat,Away,,,,Augsburg,,,,,,,,Head-to-Head,,Bayern Munich,2024-01-27 15:30:00
2024-01-27,15:30,Bundesliga,Matchweek 19,Sat,Away,,,,Werder Bremen,,,,,,,,Head-to-Head,,Freiburg,2024-01-27 15:30:00
2024-01-27,15:30,Bundesliga,Matchweek 19,Sat,Away,,,,Stuttgart,,,,,,,,Head-to-Head,,RB Leipzig,2024-01-27 15:30:00
2024-01-27,15:30,Bundesliga,Matchweek 19,Sat,Home,,,,RB Leipzig,,,,,,,,Head-to-Head,,Stuttgart,2024-01-27 15:30:00
2024-01-27,18:30,Bundesliga,Matchweek 19,Sat,Away,,,,Leverkusen,,,,,,,,Head-to-Head,,Monchengladbach,2024-01-27 18:30:00
2024-01-27,18:30,Bundesliga,Matchweek 19,Sat,Home,,,,M'Gladbach,,,,,,,,Head-to-Head,,Bayer Leverkusen,2024-01-27 18:30:00
2024-01-28,15:30,Bundesliga,Matchweek 19,Sun,Home,,,,Darmstadt 98,,,,,,,,Head-to-Head,,Union Berlin,2024-01-28 15:30:00
2024-01-28,15:30,Bundesliga,Matchweek 19,Sun,Away,,,,Union Berlin,,,,,,,,Head-to-Head,,Darmstadt 98,2024-01-28 15:30:00
2024-01-28,17:30,Bundesliga,Matchweek 19,Sun,Home,,,,Bochum,,,,,,,,Head-to-Head,,Dortmund,2024-01-28 17:30:00
2024-01-28,17:30,Bundesliga,Matchweek 19,Sun,Away,,,,Dortmund,,,,,,,,Head-to-Head,,Bochum,2024-01-28 17:30:00
2024-02-02,20:30,Bundesliga,Matchweek 20,Fri,Away,,,,Heidenheim,,,,,,,,Head-to-Head,,Dortmund,2024-02-02 20:30:00
2024-02-02,20:30,Bundesliga,Matchweek 20,Fri,Home,,,,Dortmund,,,,,,,,Head-to-Head,,Heidenheim,2024-02-02 20:30:00
2024-02-03,15:30,Bundesliga,Matchweek 20,Sat,Away,,,,Bayern Munich,,,,,,,,Head-to-Head,,Monchengladbach,2024-02-03 15:30:00
2024-02-03,15:30,Bundesliga,Matchweek 20,Sat,Away,,,,Freiburg,,,,,,,,Head-to-Head,,Stuttgart,2024-02-03 15:30:00
2024-02-03,15:30,Bundesliga,Matchweek 20,Sat,Home,,,,Augsburg,,,,,,,,Head-to-Head,,Bochum,2024-02-03 15:30:00
2024-02-03,15:30,Bundesliga,Matchweek 20,Sat,Away,,,,Bochum,,,,,,,,Head-to-Head,,Augsburg,2024-02-03 15:30:00
2024-02-03,15:30,Bundesliga,Matchweek 20,Sat,Away,,,,Mainz 05,,,,,,,,Head-to-Head,,Werder Bremen,2024-02-03 15:30:00
2024-02-03,15:30,Bundesliga,Matchweek 20,Sat,Home,,,,Leverkusen,,,,,,,,Head-to-Head,,Darmstadt 98,2024-02-03 15:30:00
2024-02-03,15:30,Bundesliga,Matchweek 20,Sat,Home,,,,Stuttgart,,,,,,,,Head-to-Head,,Freiburg,2024-02-03 15:30:00
2024-02-03,15:30,Bundesliga,Matchweek 20,Sat,Home,,,,M'Gladbach,,,,,,,,Head-to-Head,,Bayern Munich,2024-02-03 15:30:00
2024-02-03,15:30,Bundesliga,Matchweek 20,Sat,Home,,,,Werder Bremen,,,,,,,,Head-to-Head,,Mainz 05,2024-02-03 15:30:00
2024-02-03,15:30,Bundesliga,Matchweek 20,Sat,Away,,,,Darmstadt 98,,,,,,,,Head-to-Head,,Bayer Leverkusen,2024-02-03 15:30:00
2024-02-03,18:30,Bundesliga,Matchweek 20,Sat,Home,,,,Eint Frankfurt,,,,,,,,Head-to-Head,,Koln,2024-02-03 18:30:00
2024-02-03,18:30,Bundesliga,Matchweek 20,Sat,Away,,,,Köln,,,,,,,,Head-to-Head,,Eintracht Frankfurt,2024-02-03 18:30:00
2024-02-04,15:30,Bundesliga,Matchweek 20,Sun,Home,,,,Hoffenheim,,,,,,,,Head-to-Head,,Wolfsburg,2024-02-04 15:30:00
2024-02-04,15:30,Bundesliga,Matchweek 20,Sun,Away,,,,Wolfsburg,,,,,,,,Head-to-Head,,Hoffenheim,2024-02-04 15:30:00
2024-02-04,17:30,Bundesliga,Matchweek 20,Sun,Away,,,,RB Leipzig,,,,,,,,Head-to-Head,,Union Berlin,2024-02-04 17:30:00
2024-02-04,17:30,Bundesliga,Matchweek 20,Sun,Home,,,,Union Berlin,,,,,,,,Head-to-Head,,RB Leipzig,2024-02-04 17:30:00
2024-02-07,18:30,Bundesliga,Matchweek 18,Wed,Home,,,,Union Berlin,,,,,,,,Head-to-Head,,Mainz 05,2024-02-07 18:30:00
2024-02-07,18:30,Bundesliga,Matchweek 18,Wed,Away,,,,Mainz 05,,,,,,,,Head-to-Head,,Union Berlin,2024-02-07 18:30:00
2024-02-09,20:30,Bundesliga,Matchweek 21,Fri,Away,,,,Dortmund,,,,,,,,Head-to-Head,,Freiburg,2024-02-09 20:30:00
2024-02-09,20:30,Bundesliga,Matchweek 21,Fri,Home,,,,Freiburg,,,,,,,,Head-to-Head,,Dortmund,2024-02-09 20:30:00
2024-02-10,15:30,Bundesliga,Matchweek 21,Sat,Home,,,,Heidenheim,,,,,,,,Head-to-Head,,Werder Bremen,2024-02-10 15:30:00
2024-02-10,15:30,Bundesliga,Matchweek 21,Sat,Home,,,,Wolfsburg,,,,,,,,Head-to-Head,,Union Berlin,2024-02-10 15:30:00
2024-02-10,15:30,Bundesliga,Matchweek 21,Sat,Away,,,,Werder Bremen,,,,,,,,Head-to-Head,,Heidenheim,2024-02-10 15:30:00
2024-02-10,15:30,Bundesliga,Matchweek 21,Sat,Home,,,,Bochum,,,,,,,,Head-to-Head,,Eintracht Frankfurt,2024-02-10 15:30:00
2024-02-10,15:30,Bundesliga,Matchweek 21,Sat,Away,,,,Augsburg,,,,,,,,Head-to-Head,,RB Leipzig,2024-02-10 15:30:00
2024-02-10,15:30,Bundesliga,Matchweek 21,Sat,Home,,,,Darmstadt 98,,,,,,,,Head-to-Head,,Monchengladbach,2024-02-10 15:30:00
2024-02-10,15:30,Bundesliga,Matchweek 21,Sat,Away,,,,Union Berlin,,,,,,,,Head-to-Head,,Wolfsburg,2024-02-10 15:30:00
2024-02-10,15:30,Bundesliga,Matchweek 21,Sat,Home,,,,RB Leipzig,,,,,,,,Head-to-Head,,Augsburg,2024-02-10 15:30:00
2024-02-10,15:30,Bundesliga,Matchweek 21,Sat,Away,,,,Eint Frankfurt,,,,,,,,Head-to-Head,,Bochum,2024-02-10 15:30:00
2024-02-10,15:30,Bundesliga,Matchweek 21,Sat,Away,,,,M'Gladbach,,,,,,,,Head-to-Head,,Darmstadt 98,2024-02-10 15:30:00
2024-02-10,18:30,Bundesliga,Matchweek 21,Sat,Away,,,,Leverkusen,,,,,,,,Head-to-Head,,Bayern Munich,2024-02-10 18:30:00
2024-02-10,18:30,Bundesliga,Matchweek 21,Sat,Home,,,,Bayern Munich,,,,,,,,Head-to-Head,,Bayer Leverkusen,2024-02-10 18:30:00
2024-02-11,15:30,Bundesliga,Matchweek 21,Sun,Away,,,,Stuttgart,,,,,,,,Head-to-Head,,Mainz 05,2024-02-11 15:30:00
2024-02-11,15:30,Bundesliga,Matchweek 21,Sun,Home,,,,Mainz 05,,,,,,,,Head-to-Head,,Stuttgart,2024-02-11 15:30:00
2024-02-11,17:30,Bundesliga,Matchweek 21,Sun,Home,,,,Köln,,,,,,,,Head-to-Head,,Hoffenheim,2024-02-11 17:30:00
2024-02-11,17:30,Bundesliga,Matchweek 21,Sun,Away,,,,Hoffenheim,,,,,,,,Head-to-Head,,Koln,2024-02-11 17:30:00
